Cell_ID,Temp_Group,t,V_mea,SOC_mea,V_10,I_m,R,I_flag,T_env,dT,SOC_true,OCV_GITT_true
YX01,10C,150,3.247589349746704,0.6896927230453186,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.03342111584685803,0.3118074039214309,3.072262958232978
YX01,10C,180,3.248227119445801,0.6910673238922871,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.018781261415705686,0.3118074039214309,3.072262958232978
YX01,10C,210,3.2490341663360596,0.6928067720668621,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.030504779787287717,0.3118074039214309,3.072262958232978
YX01,10C,240,3.249549627304077,0.693917757872898,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.030242519350275998,0.3118074039214309,3.072262958232978
YX01,10C,270,3.250012159347534,0.6949146646553723,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.04292670733626025,0.3118074039214309,3.072262958232978
YX01,10C,300,3.2504382133483887,0.6958329494080948,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.06008569720245838,0.3118074039214309,3.072262958232978
YX01,10C,330,3.2508652210235596,0.6967532896387193,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,0.02070768353484631,0.3118074039214309,3.072262958232978
YX01,10C,360,3.251190662384033,0.6974547214727799,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.006361408262028689,0.3118074039214309,3.072262958232978
YX01,10C,390,3.2515628337860107,0.6982568717240388,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.0022186470315599394,0.3118074039214309,3.072262958232978
YX01,10C,420,3.251922130584717,0.6990312730236207,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.04984323504425525,0.3118074039214309,3.072262958232978
YX01,10C,450,3.2521772384643555,0.6995811133624081,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.03812067034698963,0.3118074039214309,3.072262958232978
YX01,10C,480,3.2523438930511475,0.6999403081257841,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.05080835345245838,0.3118074039214309,3.072262958232978
YX01,10C,510,3.252641439437866,0.7005816172312109,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.053985996274724,0.3118074039214309,3.072262958232978
YX01,10C,540,3.2529945373535156,0.7013426579244297,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.024444980649724002,0.3118074039214309,3.072262958232978
YX01,10C,570,3.253056287765503,0.7014757501185849,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.05205862048126697,0.3118074039214309,3.072262958232978
YX01,10C,600,3.2533512115478516,0.7021114066597811,3.2400660514831543,-0.2457824635127234,-0.009356026311110393,1,13.367006702451482,-0.1391920280740404,0.3118074039214309,3.072262958232978
YX01,10C,30,3.5794100761413574,1.0,3.59053635597229,1.9104845619519,-0.005823799915747627,1,13.308075904846191,-0.005114555358886719,1.0,3.4714558124542236
YX01,10C,60,3.565751075744629,1.0,3.59053635597229,1.9104845619519,-0.005823799915747627,1,13.308075904846191,-0.011228561401367188,1.0,3.4714558124542236
